subject	run	n_volumes	n_fd_observations	mean_fd_mm	median_fd_mm	p95_fd_mm	max_fd_mm	mean_std_dvars	max_translation_range_mm	max_rotation_range_degrees	n_fd_gt_0p2_mm	percent_fd_gt_0p2_mm	n_fd_gt_0p5_mm	percent_fd_gt_0p5_mm
sub-0000	1	570	569	0.06357108072217293	0.0599616044935997	0.12053737192956324	0.1823446739210587	1.0202955272407732	0.23582747903211032	0.2838976143264399	0	0.0	0	0.0
sub-0000	2	570	569	0.05796890358572809	0.0542013514145681	0.10633639375204167	0.2891111786977965	1.0243613866432337	0.215765184450916	0.2239484502223996	1	0.1757469244288225	0	0.0
sub-0000	3	570	569	0.05586997231565473	0.052844302935495	0.1033636604400683	0.1873759613777603	1.0175738137082602	0.20277923592578861	0.2493577973300272	0	0.0	0	0.0
sub-0000	4	570	569	0.06328354737738394	0.0594257710950544	0.10954108081904503	0.1637611934329962	1.0261420773286467	0.2191407251353183	0.2676350477432138	0	0.0	0	0.0
sub-0000	5	570	569	0.0584213787863451	0.0527267774839145	0.11557387444488029	0.1699495726803279	1.025017495606327	0.3152543193791928	0.16334709214124044	0	0.0	0	0.0
sub-0000	6	570	569	0.07039020766153549	0.0541213156378364	0.12171657841125226	2.585434586110732	1.0698619771528999	0.4769837347499929	1.7778188751824524	6	1.054481546572935	5	0.8787346221441125
sub-0001	1	570	569	0.08025579980817205	0.0817822809004278	0.13584529704409307	0.1914496921490364	1.0242308260105448	0.3224004446146579	0.26183726237574384	0	0.0	0	0.0
sub-0001	2	570	569	0.0720357542089509	0.0751592577063962	0.12355811210985353	0.175468356143421	1.0272654657293496	0.2583629129260457	0.16415249032366577	0	0.0	0	0.0
sub-0001	3	570	569	0.06898854277913888	0.0708498666659487	0.11381769415763979	0.1378161412787378	1.0263327170474517	0.19171668440446848	0.16208763213823058	0	0.0	0	0.0
sub-0001	4	570	569	0.06809697364271938	0.0682730377035212	0.11451680778804826	0.2646846107649268	1.017032202108963	0.34534644292878613	0.5455784687327774	3	0.5272407732864675	0	0.0
sub-0001	5	570	569	0.06866591137632264	0.0681437395309926	0.11410895028861602	0.1841691467925462	1.0178632355008788	0.25656119775119635	0.2736806884071246	0	0.0	0	0.0
sub-0001	6	570	569	0.07135069624828978	0.0739572927746618	0.11593578573031052	0.2386056063154575	0.9820849578207381	0.2932809951490184	0.6379418236237739	1	0.1757469244288225	0	0.0
sub-0003	1	570	569	0.06673452755828554	0.059533857613718	0.12951326541454197	0.2428698848876362	1.0487503427065026	0.2508339249427393	0.5637633242311904	1	0.1757469244288225	0	0.0
sub-0003	2	570	569	0.06537769779017323	0.0618147926850449	0.11561623452974214	0.2613043689814608	1.0477496414762744	0.3308140012629081	0.41195715193403865	2	0.351493848857645	0	0.0
sub-0003	3	570	569	0.07098741008603919	0.0626895185476866	0.15390945170170084	0.226196484569584	1.0401630474516694	0.373033324524826	0.3942361522516873	5	0.8787346221441125	0	0.0
sub-0003	4	570	569	0.07010185136307731	0.0626296502031745	0.14317255034910664	0.2140011758142629	1.0373035992970123	0.3086590614595934	0.3482344876362472	2	0.351493848857645	0	0.0
sub-0003	5	570	569	0.06408596712989177	0.0580122112398006	0.13260477387939343	0.2088518005400864	1.0409121247803166	0.1433426920175406	0.1951287603247175	1	0.1757469244288225	0	0.0
sub-0003	6	570	569	0.0647892476734199	0.058618451064366	0.1301508089344991	0.2271637426941599	1.0354075166959575	0.1548687958294436	0.26212980580372836	2	0.351493848857645	0	0.0
sub-0004	1	570	569	0.09480954995094813	0.0763136959615774	0.2186868422659029	1.1282008508147672	1.0262479894551846	1.6913595860098525	0.8325367720489687	32	5.62390158172232	5	0.8787346221441125
sub-0004	2	570	569	0.09185328905782286	0.0763880136879428	0.1902756987110498	0.7841217564961134	1.0148900492091388	1.5233284902287778	1.0614320800947414	24	4.21792618629174	6	1.054481546572935
sub-0004	3	570	569	0.09769294507414238	0.0731942724851509	0.22767150484537177	1.2521420760106403	0.9910903550087873	2.0173852933329215	1.3340844537610919	40	7.0298769771529	8	1.40597539543058
sub-0004	4	570	569	0.1043984876928835	0.0801804081501381	0.2441826540279177	1.3828228229870612	0.9804038172231985	1.5401030680748846	1.1163913685058553	45	7.9086115992970125	6	1.054481546572935
sub-0004	5	570	569	0.09902006121247532	0.076671821700357	0.20871207512189494	1.0255270234092717	0.9889691458699474	1.6851328428697485	1.0510243829431616	34	5.975395430579965	9	1.5817223198594024
sub-0004	6	570	569	0.09453722150378603	0.0767119636569048	0.18199861722921903	0.8626933571108644	1.0199831212653778	1.487991219351457	1.0822157392895955	28	4.92091388400703	7	1.2302284710017575
sub-0005	1	570	569	0.07750136906347019	0.0710481977262969	0.13934101263474682	0.2756085742089414	0.9924552882249562	0.592251397206681	1.6456224931164571	4	0.70298769771529	0	0.0
sub-0005	2	570	569	0.07672115105999225	0.0695886429006549	0.12681876367744618	0.5527054874575013	1.0105402073813707	0.4851754748325163	0.5348669677629474	14	2.460456942003515	3	0.5272407732864675
sub-0005	3	570	569	0.08264722074737561	0.07494117929892	0.14640089631922687	0.5773050134265515	1.0101075079086117	0.7597586032184863	0.5888469765503472	16	2.81195079086116	2	0.351493848857645
sub-0005	4	570	569	0.10447589242575119	0.0792369918164544	0.27861516263875763	0.9412909816895956	1.052590272407733	1.8262198887901067	0.6216857488376499	44	7.73286467486819	11	1.9332161687170475
sub-0005	5	570	569	0.07282734171195662	0.0675611771544382	0.12003434311774142	0.4067813466446704	1.015056783831283	0.5577149268021628	0.4229723719644094	9	1.5817223198594024	0	0.0
sub-0005	6	570	569	0.10616125367284263	0.0777350839024535	0.3045307197555308	0.8886175023227295	1.044432432337434	1.4347063620104734	0.673472880254842	50	8.787346221441124	11	1.9332161687170475
sub-0007	1	570	569	0.08581635804494872	0.0721204815390647	0.18286937821098667	0.7113868883847473	1.0400752003514937	0.682497532593402	0.792359756644068	22	3.866432337434095	2	0.351493848857645
sub-0007	2	570	569	0.08892495957612877	0.0719790874038428	0.18714167112175606	1.2069630036946182	1.0340407961335676	0.7783908414198634	0.8979098258580562	27	4.745166959578207	2	0.351493848857645
sub-0007	3	570	569	0.0918431450626945	0.0682804381849992	0.20066443873572037	1.8056956442696128	1.0389662934973638	1.837986545670148	2.275263254096312	30	5.272407732864675	5	0.8787346221441125
sub-0007	4	570	569	0.1468779186550622	0.1003173235543723	0.38435830291188194	1.3922144181195597	1.0260696731107206	2.3727436064196326	3.3737162625535255	103	18.101933216168717	17	2.9876977152899826
sub-0007	5	570	569	0.11850566865193826	0.0798030810484387	0.3350336128248825	1.5960269831820204	1.043591151142355	2.140805743117653	2.180565046499676	69	12.126537785588752	14	2.460456942003515
sub-0007	6	570	569	0.1125975364342096	0.0846865103505554	0.2611281270220156	1.698483121115423	1.0263688224956065	1.921683652647161	1.5386822856968168	62	10.896309314586995	5	0.8787346221441125
sub-0008	1	570	569	0.0667211117156755	0.0644092483799966	0.11802049866948144	0.1643457442887778	1.0155144920913886	1.1334471294476174	0.5377221075274393	0	0.0	0	0.0
sub-0008	2	570	569	0.06678526047141257	0.0663891870979728	0.11338220318703059	0.1550567945801189	1.028576713532513	0.8982247262978547	0.49110448767154724	0	0.0	0	0.0
sub-0008	3	570	569	0.07510403153870336	0.0727592613899184	0.1318572870935074	0.1745291688828019	1.0008276379613357	1.3607007811295944	0.4442199190785974	0	0.0	0	0.0
sub-0008	4	570	569	0.06367244125018756	0.06419448699041	0.10744307645232822	0.1414929328632141	1.008619792618629	0.9624510404622839	0.27583957396776854	0	0.0	0	0.0
sub-0008	5	570	569	0.06133534937812973	0.0607483705308792	0.10511356276887192	0.134004740428175	1.0141662302284709	0.5534974891196924	0.22448550198709608	0	0.0	0	0.0
sub-0008	6	570	569	0.06400323869049611	0.0634219348201961	0.10705479190115226	0.1641324850353999	1.0153344499121266	0.7495387454157623	0.33310843808014223	0	0.0	0	0.0
sub-0009	1	570	569	0.09479113842852621	0.093499102607241	0.16488767844677624	0.2348210701256627	1.0041821282952548	0.2692173226340059	0.3108216258000714	8	1.40597539543058	0	0.0
sub-0009	2	570	569	0.08609269165887108	0.0836122701118317	0.15307191433496603	0.270091842796367	0.9973585834797891	0.5428454552511681	0.3297943232350867	4	0.70298769771529	0	0.0
sub-0009	3	570	569	0.10012502117598307	0.0943128778046412	0.1883294931566206	0.3128950105577482	1.0108621599297012	0.7804089281132178	0.4371887118520942	18	3.1634446397188047	0	0.0
sub-0009	4	570	569	0.12202242624070127	0.109880330435483	0.24276287100167143	0.58361615615179	1.0618663866432339	2.0187786922628703	1.5465900908551493	47	8.260105448154658	1	0.1757469244288225
sub-0009	5	570	569	0.1639218428106671	0.1308924848105073	0.383625633153394	1.4212539824907575	1.0277418840070298	2.5171128074487825	2.102847038840717	114	20.035149384885763	21	3.6906854130052724
sub-0009	6	570	569	0.14226563554044822	0.1203414269981133	0.2980775903193626	1.3392285501940764	1.0308426520210896	2.2971252101313553	1.442097510087883	85	14.938488576449911	5	0.8787346221441125
sub-0010	1	570	569	0.12094431086935378	0.1014391379197636	0.27011248253202513	0.7865009247534647	1.053291891036907	0.9898489309061205	1.5011895635035586	64	11.24780316344464	9	1.5817223198594024
sub-0010	2	570	569	0.08718016330070455	0.0732709819318664	0.1802574284067156	0.7651104235352426	1.1017100404217925	1.0375047076054926	1.0516194044135536	25	4.393673110720562	3	0.5272407732864675
sub-0010	3	570	569	0.09036493413798016	0.078086468884738	0.17781588591411318	0.8025018004502411	1.0920320931458698	1.756652982741599	0.541335107363742	22	3.866432337434095	4	0.70298769771529
sub-0010	4	570	569	0.07833814548139142	0.0697035553093877	0.1484683834049927	0.7624634984285257	1.0773768910369068	0.9546163891285743	0.4578049499811374	12	2.10896309314587	2	0.351493848857645
